postalcode,lat,lon
754130,22.475,83.8682
262526,29.5882,80.3817
382006,23.1505,72.6399
521286,16.6978,80.1247
581402,18.3783,75.5532
249146,27.7045,79.5774
521225,16.5414,80.5785
636308,10.653,78.4922
477332,25.5295,75.6643
249128,29.1521,78.3703
757053,22.6494,83.9049
571301,12.118,76.6841
177114,30.9035,75.0835
424304,21.7313,74.7837
585292,16.9657,78.6495
764027,18.7754,83.1365
284419,27.0423,79.4895
174011,22.9703,74.879
784505,25.6177,92.4484
364070,21.6031,72.2689
412105,18.6776,73.8987
670673,11.7874,75.7795
761106,18.6123,81.9669
403717,15.2035,73.954
210201,25.2857,80.5714
232336,25.0854,86.3624
506172,14.8985,79.33
533105,17.5694,82.2309
532242,18.8683,84.463
445203,21.0588,78.017
506145,18.3568,79.5101
321611,25.4832,77.8197
755028,21.1435,86.1786
301708,26.8962,78.0418
344001,28.3899,73.6122
473885,24.7734,77.9721
190008,34.0694,74.825
423208,20.3804,74.5279
767038,20.2222,83.0452
524342,14.3855,79.5635
686515,11.6465,75.7722
605755,11.8408,77.9582
713519,21.2333,81.6333
742401,23.9841,83.2569
835102,23.6901,81.3058
507135,16.9958,80.1538
813202,24.3513,74.1051
146023,30.3324,76.945
689673,9.1968,76.8041
261302,27.2134,79.9457
680309,11.6146,75.928
784154,26.6833,92.65
206001,26.7682,79.1228
394116,23.3484,75.0766
524321,15.2148,79.3282
686610,11.5103,76.8286
835203,23.2208,84.889
574314,17.6985,73.1294
509385,17.5802,78.0561
414402,19.2322,74.3844
678701,9.95,76.8167
307515,24.7459,74.4
639202,11.0501,77.6727
246401,27.9269,76.9448
711202,21.7576,85.3251
688002,9.4617,76.3382
141115,30.9155,76.2013
415509,16.4359,76.728
382405,33.642,74.0877
577413,13.3473,76.0498
464770,27.6939,77.6054
533445,16.8744,81.4048
571219,15.2154,75.2289
673572,11.4492,75.9905
643101,11.3498,76.7937
185202,33.0075,74.4649
604302,12.4939,79.9166
630205,12.4924,78.568
504107,19.6086,78.3189
442104,21.2793,78.0096
700034,22.5015,88.2788
143101,32.1618,74.7899
440005,21.1463,79.0849
517172,13.5768,79.0946
756029,23.1854,88.7645
246488,30.0105,77.7351
424201,19.68,75.9573
786001,27.4799,94.9084
686612,11.5103,76.8286
345023,27.1128,71.8786
500004,17.8669,78.6003
144407,28.0908,76.412
761041,19.5135,84.8323
211009,25.6788,81.9335
825421,24.3242,82.8812
679329,11.2748,76.225
764086,18.8219,82.5053
721148,23.2941,86.4095
609115,11.2175,79.7944
327032,23.5665,75.602
389160,23.4915,78.0598
573123,12.7311,75.73
533297,24.106,78.9574
676525,11.1632,76.3362
533247,16.7805,77.8675
243001,28.347,79.4219
518145,14.9884,78.3913
504109,22.4864,79.9893
583113,15.3717,77.7967
583268,15.9132,76.8926
629602,8.9902,77.2776
228151,26.3465,79.917
462003,23.6066,75.1283
174017,27.9538,74.7079
679101,10.7709,76.3784
440003,21.1463,79.0849
211014,26.6356,79.4507
848122,26.4652,79.7082
444805,21.2991,77.518
847103,25.3356,79.7791
822112,22.1239,83.6689
627359,9.0421,77.3852
848117,26.5748,79.839
509381,16.795,79.543
271207,26.5648,79.7935
506371,16.0747,76.5509
682505,10.5669,72.642
502251,18.6174,76.8943
392210,23.6218,76.2001
123034,23.3566,77.4594
815316,23.4094,85.3883
392035,23.5082,73.0392
410221,18.3667,72.9333
483105,22.3482,79.5308
689520,13.5345,78.0394
424101,20.4632,75.0121
210422,26.2295,78.3083
222105,26.5859,79.7824
142039,28.4867,76.0767
688525,9.6634,76.3807
680669,10.2222,76.1992
400614,19.202,72.9725
442106,22.27,77.3816
600003,13.0819,80.2781
481668,22.2943,80.1546
262542,26.6545,72.5791
144501,28.9306,78.2291
735135,25.746,88.9622
151106,30.1435,74.9424
591103,15.9622,75.304
423204,23.7095,73.5048
302013,26.5498,75.8563
534196,16.4445,81.1743
271312,20.4489,81.62
515531,15.1817,78.6722
638453,11.3911,77.7837
689585,9.0023,78.1925
722140,22.8082,86.0966
121106,27.8921,77.3669
577512,15.301,75.5053
388307,22.4216,71.8626
140601,30.5901,76.7648
734314,27.2681,88.5591
581396,14.9055,74.3456
387325,25.4263,75.6008
136027,26.5622,76.0077
691534,8.8444,76.8944
143534,32.2045,75.471
517507,9.7657,78.6397
303510,25.7989,77.5913
791001,28.1164,94.3881
841311,26.2792,85.2107
461228,23.5537,75.8814
360520,30.1578,76.1984
173207,30.4517,77.9412
700030,23.3202,86.8426
637001,11.2213,78.1652
743411,22.6614,88.8548
497111,25.7099,81.7886
122017,27.78,78.7661
678005,17.7071,77.9414
852106,26.2933,80.1035
832401,25.5685,82.2682
416213,17.9153,74.4532
285127,26.3772,79.1517
492008,25.2814,81.0917
754162,25.1839,82.6166
522408,15.2427,78.6045
700102,21.4833,87.1581
822115,25.5781,79.2288
721167,25.5312,81.1458
691590,8.8603,76.8019
848102,26.5307,85.8113
132103,29.39,76.9695
387610,24.2136,77.1821
176048,30.8537,76.9161
444304,20.8531,76.5618
841442,22.8781,83.3294
682029,10.0243,76.3053
306302,25.9752,73.9405
722132,22.7285,86.9256
388239,24.9365,78.4184
734223,27.6968,83.3674
444109,20.7157,76.8245
457772,25.4736,75.3856
246727,30.3009,76.6606
382465,23.002,77.7534
400067,19.1699,72.8504
314037,21.8905,77.0259
803302,21.6236,72.5091
531114,17.17,82.0598
416508,13.9881,75.9826
533296,12.9879,77.5625
262701,26.7557,79.9959
335804,29.0816,74.985
246487,29.9978,78.8345
173221,26.9196,75.7878
271122,22.9254,79.7695
629402,8.9902,77.2776
680519,11.0072,76.967
382220,23.8028,77.2815
700079,22.5204,88.2697
854306,25.6863,82.2602
515123,14.0937,77.428
144633,31.2153,76.1597
609108,8.6051,77.9375
303327,26.4426,76.1815
125102,28.7718,75.4303
591254,16.064,74.438
721656,24.0885,87.0026
228001,26.0889,79.0596
731216,25.9348,90.7724
110052,26.9263,73.9262
396135,20.2282,72.7492
571115,13.0058,76.8518
332602,26.7702,77.7698
722137,28.1622,78.9513
384241,25.8634,75.1921
518124,15.3557,78.2469
362565,30.3628,76.7952
530005,17.6587,83.2742
690526,9.3504,77.0332
403106,15.4758,73.9338
206127,24.6288,79.2275
425109,21.079,74.0976
