areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
754130,0,1,5,2,4
262526,2,4,0,1,5
382006,5,2,1,4,3
521286,1,5,3,0,2
581402,5,1,3,2,4
249146,2,4,0,1,5
521225,1,5,3,0,2
636308,3,1,5,0,2
477332,2,4,5,1,0
249128,2,4,0,1,5
757053,0,1,5,2,4
571301,3,5,1,0,2
177114,4,2,5,1,0
424304,5,1,2,4,3
585292,1,5,3,0,2
764027,1,0,5,3,2
284419,2,4,0,1,5
174011,5,1,2,4,3
784505,0,2,4,1,5
364070,5,1,2,4,3
412105,5,1,3,2,4
670673,3,5,1,0,2
761106,1,5,0,3,2
403717,5,3,1,2,0
210201,2,4,0,1,5
232336,0,2,4,1,5
506172,3,1,5,0,2
533105,1,5,3,0,2
532242,0,1,5,3,2
445203,1,5,2,3,0
506145,1,5,3,0,2
321611,2,4,1,5,0
755028,0,1,5,2,3
301708,2,4,1,5,0
344001,2,4,5,1,0
473885,2,4,1,5,0
190008,4,2,5,1,0
423208,5,1,3,2,4
767038,0,1,5,3,2
524342,3,1,5,0,2
686515,3,5,1,0,2
605755,3,1,5,0,2
713519,1,5,0,2,3
742401,0,2,1,5,4
835102,2,0,1,5,4
507135,1,5,3,0,2
813202,2,5,4,1,3
146023,4,2,5,1,0
689673,3,5,1,0,2
261302,2,4,0,1,5
680309,3,5,1,0,2
784154,0,2,4,1,5
206001,2,4,1,5,0
394116,2,5,1,4,3
524321,3,1,5,0,2
686610,3,5,1,0,2
835203,0,1,2,5,4
574314,5,1,3,2,4
509385,1,5,3,0,2
414402,5,1,3,2,4
678701,3,5,1,0,2
307515,2,4,5,1,3
639202,3,1,5,0,2
246401,2,4,5,1,0
711202,0,1,5,2,3
688002,3,5,1,0,2
141115,4,2,5,1,0
415509,5,1,3,2,0
382405,4,2,5,1,0
577413,3,5,1,0,2
464770,2,4,1,5,0
533445,1,5,3,0,2
571219,5,3,1,2,0
673572,3,5,1,0,2
643101,3,5,1,0,2
185202,4,2,5,1,0
604302,3,1,5,0,2
630205,3,1,5,0,2
504107,1,5,3,2,0
442104,1,5,2,3,0
700034,0,1,2,5,4
143101,4,2,5,1,0
440005,1,5,2,3,0
517172,3,1,5,0,2
756029,0,1,2,5,4
246488,4,2,0,1,5
424201,5,1,3,2,4
786001,0,2,4,1,5
686612,3,5,1,0,2
345023,2,4,5,1,3
500004,1,5,3,0,2
