postalcode,lat,lon
414111,19.2076,74.6664
757048,25.0635,81.0983
364530,18.8806,74.6948
184104,32.5492,75.1915
226101,26.1487,81.8011
781372,26.189,88.2474
273015,27.2162,79.7965
231302,24.9581,76.2992
680518,11.0072,76.967
413402,19.3665,75.9188
743270,26.84,83.4317
343042,26.0503,73.0007
304023,26.0567,75.7064
743370,22.1655,88.8007
632007,12.9695,79.1455
721432,25.214,84.9877
628621,11.1083,78.0011
313706,23.6729,74.394
455339,24.7028,76.338
508207,15.7958,78.9853
733132,24.6386,85.6514
721517,22.6279,80.7789
606401,12.1999,78.7949
412115,19.7992,76.5148
756123,21.059,86.614
577544,16.6761,76.8189
231501,21.3992,82.0353
362715,21.6735,72.5044
678508,10.5384,76.6482
261151,27.2235,79.6418
416206,27.6784,79.6568
571617,19.9098,81.1521
421601,19.4994,73.3348
841411,28.8735,74.848
443201,23.3456,76.9505
412206,18.0889,74.1131
764045,18.321,81.9375
577217,13.5644,76.6212
272164,26.2383,77.446
422208,20.454,73.8556
523333,15.6934,78.9819
756111,23.1677,82.7793
571125,12.5839,77.0434
854104,18.9492,84.2801
785703,25.7311,91.7961
389175,23.9124,74.0297
248124,25.8888,75.6157
848504,25.8199,82.8587
713143,24.8172,83.3903
761209,18.8842,84.1886
517620,22.3761,88.1497
743347,22.5913,87.9514
230139,30.7412,76.8853
811107,24.2127,80.5303
222131,25.8494,79.6956
333028,28.1016,75.595
522413,16.5333,79.9
362140,20.1549,73.1547
230001,25.8964,81.9404
517257,13.4748,78.8101
627006,10.1739,78.5094
504216,19.882,76.7734
523370,19.8776,75.3423
785106,27.8833,94.1167
501102,15.2949,78.9993
673592,11.6653,76.3144
383305,23.4238,73.0697
678701,9.95,76.8167
206120,26.9679,79.059
811211,27.0664,79.8124
524408,16.0909,78.8065
731238,25.3247,82.9613
494334,22.4543,81.8363
523135,15.6947,80.2425
621708,11.2284,78.9517
210121,25.7866,77.1769
206122,26.8656,79.1477
517640,17.8307,82.8582
585417,21.1236,76.7415
144632,31.0122,76.078
455459,22.5362,76.6838
344702,26.3874,71.4831
148034,29.4726,76.1382
796730,22.8777,92.5873
144703,26.907,79.531
360023,22.4286,71.7186
635107,13.0009,77.5785
391168,23.4212,73.8661
415611,17.3918,73.6248
577433,13.729,75.3393
627151,8.8895,77.9672
301401,27.1723,73.6452
756112,21.0166,86.3757
606704,11.0098,78.1196
486550,25.2037,76.9244
533201,16.5787,82.0061
441202,22.8387,81.2
852215,24.7845,79.0193
271502,25.8705,84.9972
676553,10.9194,76.0572
735204,26.7042,89.1455
852106,26.2933,80.1035
744105,11.6,92.7333
410206,23.8788,74.3982
845303,25.2574,84.1591
230503,26.0683,79.3959
441924,22.1582,82.0941
415109,18.9281,76.1179
124001,28.8884,76.5754
243503,27.0617,79.2303
743251,23.1303,88.7566
608401,10.9629,79.3695
784182,25.9738,92.9101
600072,12.9194,80.1697
221115,24.6321,79.6177
313341,25.9102,74.992
477105,27.5329,79.0845
621722,11.1721,79.2231
813103,27.0377,79.8566
493441,21.2167,81.4333
585236,17.3883,76.3868
604204,12.0909,78.6601
721457,20.9433,84.5956
572215,13.5563,76.6743
523372,15.2078,77.3784
577412,13.9511,75.9574
531149,18.2731,82.9683
443201,23.3456,76.9505
761215,19.1601,84.0613
531162,17.2157,82.2744
271003,27.7333,82.75
506367,17.4918,78.6446
530013,17.9257,82.1293
742401,23.9841,83.2569
455118,23.0899,76.8178
757033,23.2462,84.0679
243123,28.2526,80.245
506135,17.8801,80.2015
483770,27.2242,79.2959
802157,26.5237,79.7563
110002,28.4833,77.3
335038,28.1846,75.2556
464228,24.1351,79.3729
521185,16.7194,80.1671
624702,13.2105,79.0956
743297,22.8605,88.7392
332041,26.36,75.8982
221112,24.6321,79.6177
637404,11.5101,78.9848
171009,31.0769,77.1856
262122,28.98,79.4
276131,23.966,81.5146
762106,21.2281,83.9614
848210,25.2467,81.9178
314001,17.5567,73.9704
811303,26.7369,85.0625
521312,17.0306,79.9093
636308,10.653,78.4922
423501,19.0549,74.6292
413218,20.2296,80.0095
583216,14.5342,76.664
713378,22.2822,81.6784
603310,13.5545,77.6937
832301,22.7333,87.0289
273303,26.0841,80.7499
769009,22.383,83.9766
441221,19.531,77.4169
222142,24.9508,80.5857
533229,16.5533,82.0975
835225,23.9002,85.7313
530003,17.6852,83.253
414306,18.96,74.2813
670703,12.5263,75.502
283125,29.3667,77.7333
328001,26.5098,77.8467
625532,9.9694,77.7862
788162,26.332,89.8452
210206,29.6814,77.4136
562129,13.1082,77.1367
624709,12.822,78.8907
335062,29.7577,77.6003
466116,25.2262,78.8074
785615,26.6225,93.7223
209870,26.7265,80.1612
391121,22.3696,73.3371
442906,22.9513,77.4394
623533,12.3805,77.4412
126125,29.1857,77.6436
754112,22.7358,84.7527
383325,23.895,74.1137
370427,26.8258,72.9879
581355,15.094,75.6881
507121,18.3661,81.4338
802165,26.1116,80.1181
243122,26.3992,78.2466
389140,23.4213,75.0667
331021,28.2208,74.9226
782411,26.4586,92.0144
533288,16.5942,80.8485
495330,24.0232,79.9849
110030,27.8311,79.0356
273165,26.0037,79.9956
609104,8.6051,77.9375
670511,15.1693,79.6846
416403,17.1167,74.9885
412208,18.6936,74.1381
621206,10.9239,78.7435
811213,22.3661,85.147
457888,22.1159,74.3257
342003,26.2743,72.8823
385120,23.8056,74.7845
229203,26.0687,81.0324
835302,25.9302,79.8768
224210,27.0057,79.2441
480223,23.6338,81.279
786182,27.2609,95.778
689672,9.1968,76.8041
571111,13.8264,76.9622
799144,26.548,79.966
441924,21.15,79.65
273409,22.6413,88.3773
212204,25.4173,81.8704
497220,24.2897,82.6256
431511,23.2505,83.144
854102,25.617,79.0223
785666,27.0086,93.9319
574108,19.0257,75.5125
517280,17.8307,82.8582
523265,11.8903,78.9145
385545,26.4046,73.57
370665,23.3833,69.2667
503201,22.8229,77.059
391160,25.4038,77.0622
636804,12.0435,78.1492
762102,22.0719,81.235
485773,24.1085,78.8492
142052,30.693,75.4435
394340,22.0917,69.1011
470223,26.1649,77.4691
563159,13.9843,77.89
509336,17.3658,78.5988
431107,20.0449,76.5157
571434,12.5008,76.6745
796441,24.0484,92.3843
712204,22.7528,88.3422
143601,30.4687,75.9508
587116,16.0182,75.9873
362245,19.8549,71.9245
688007,9.4617,76.3382
522509,15.8845,79.9127
456661,23.7611,76.8221
