areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
414111,2,9,5,4,1
757048,8,1,3,5,6
364530,2,9,4,5,0
184104,6,1,5,8,2
226101,8,8,1,1,3
781372,7,3,8,1,4
273015,1,8,6,5,3
231302,5,1,2,6,8
680518,0,9,4,2,8
413402,2,9,4,5,8
743270,8,1,3,6,7
343042,5,6,1,2,8
304023,5,1,6,2,8
743370,3,3,7,7,8
632007,0,9,4,2,8
721432,3,3,8,8,1
628621,0,9,4,2,8
313706,5,2,1,6,8
455339,5,1,2,8,6
508207,4,4,9,9,0
733132,3,8,7,1,4
721517,8,1,4,3,2
606401,0,9,4,2,8
412115,2,4,9,5,8
756123,3,8,4,7,1
577544,9,4,2,0,5
231501,8,4,3,1,2
362715,2,5,1,9,4
678508,0,9,4,2,5
261151,1,8,6,5,3
416206,1,6,8,5,3
571617,4,8,3,2,9
421601,2,5,9,4,1
841411,6,5,1,8,2
443201,5,5,5,2,2
412206,2,9,4,5,0
764045,4,4,8,8,3
577217,9,0,4,2,5
272164,1,5,6,8,2
422208,2,5,9,4,1
523333,9,9,4,4,0
756111,8,8,3,3,1
571125,0,9,4,2,8
854104,4,3,8,9,2
785703,7,3,8,1,4
389175,5,2,1,6,8
248124,5,1,6,2,8
848504,8,1,3,6,5
713143,8,8,3,3,1
761209,4,3,8,9,2
517620,3,7,8,4,1
743347,3,7,8,4,1
230139,6,1,5,8,2
811107,8,1,3,5,2
222131,1,8,5,6,3
333028,6,1,5,8,2
522413,4,9,0,2,8
362140,2,2,5,5,9
230001,8,1,3,6,5
517257,0,9,4,2,8
627006,0,9,4,2,8
504216,2,4,9,5,8
523370,2,9,5,4,1
785106,7,3,8,1,6
501102,9,4,0,2,8
673592,0,9,4,2,5
383305,5,2,1,6,8
678701,0,9,4,2,8
206120,1,8,6,5,2
811211,1,8,6,5,3
524408,4,9,0,2,8
731238,8,1,3,6,5
494334,8,3,1,4,2
523135,4,9,0,2,8
621708,0,9,4,2,8
210121,1,5,6,8,2
206122,1,8,6,5,2
517640,4,3,8,9,2
585417,2,2,4,5,4
144632,6,1,5,8,2
455459,2,2,5,5,1
344702,5,5,6,6,1
148034,6,1,5,8,2
796730,7,3,8,4,1
144703,1,8,6,5,3
360023,5,2,1,6,9
635107,0,9,4,2,8
391168,5,5,2,2,1
415611,2,9,4,5,0
577433,9,0,4,2,5
627151,0,9,4,2,8
301401,5,6,1,2,8
756112,3,8,4,7,1
606704,0,9,4,2,8
486550,1,5,8,6,2
533201,4,9,0,3,2
441202,8,1,3,4,2
852215,1,8,5,6,2
271502,8,3,1,7,6
676553,0,9,4,2,5
735204,7,7,3,3,8
852106,1,8,6,5,3
744105,3,4,7,0,9
410206,5,2,1,6,8
845303,8,3,1,7,4
230503,1,8,5,6,2
441924,8,4,8,3,2
415109,2,9,4,5,8
124001,6,1,5,8,2
243503,1,1,8,8,6
743251,3,7,8,1,4
608401,0,9,4,2,8
784182,7,3,8,1,4
600072,0,9,4,2,8
221115,1,8,5,2,6
313341,5,1,6,2,8
477105,1,6,8,5,3
621722,0,9,4,2,8
813103,1,8,6,5,3
493441,8,4,3,1,2
585236,9,2,4,0,5
604204,0,9,4,2,8
721457,3,8,4,1,7
572215,9,0,4,2,5
523372,9,9,4,4,0
577412,9,0,4,2,5
531149,4,3,8,9,2
761215,4,4,3,3,8
531162,4,9,3,8,2
271003,1,8,3,6,5
506367,4,9,2,0,8
530013,4,9,3,8,2
742401,8,8,3,3,1
455118,5,5,2,2,1
757033,8,3,1,4,7
243123,1,6,8,5,3
506135,4,9,2,8,0
483770,1,6,8,5,3
802157,1,8,6,5,3
110002,6,1,5,8,2
335038,6,5,1,8,2
464228,8,1,5,2,6
521185,4,9,2,0,8
624702,0,9,4,2,8
743297,3,7,8,4,1
332041,5,1,6,8,2
221112,1,8,5,2,6
637404,0,9,4,2,8
171009,6,1,5,8,2
262122,1,6,8,5,3
276131,8,1,3,4,5
762106,3,8,4,1,2
848210,8,1,3,5,6
314001,2,9,4,5,0
811303,3,8,8,3,7
521312,4,9,2,0,8
636308,0,9,4,2,8
423501,2,9,4,5,1
413218,4,8,2,9,1
583216,9,0,4,2,5
713378,8,3,4,1,2
603310,9,0,4,2,8
832301,3,3,8,8,7
273303,1,8,6,5,3
769009,3,8,4,1,7
441221,2,4,9,5,8
222142,8,1,5,3,6
533229,4,9,0,3,2
835225,3,8,7,1,4
530003,4,3,8,9,2
414306,2,9,5,4,0
670703,9,0,4,2,5
283125,6,1,5,8,2
328001,1,1,8,5,6
625532,0,0,9,9,4
788162,7,3,8,1,4
210206,6,1,5,8,2
562129,9,0,4,2,8
624709,0,9,4,2,8
335062,6,1,5,8,2
466116,1,8,5,6,2
785615,7,3,8,1,4
209870,1,8,6,5,3
391121,5,2,1,9,6
442906,5,2,1,8,4
623533,0,9,4,2,8
126125,6,1,5,8,2
754112,3,8,1,4,7
383325,5,2,1,6,8
370427,5,6,1,2,8
581355,9,0,2,4,5
507121,4,9,8,2,3
802165,1,8,6,5,3
243122,1,5,6,8,2
389140,5,2,1,8,6
331021,6,5,1,8,2
782411,7,3,8,1,4
533288,4,9,0,2,8
495330,8,1,5,2,3
110030,1,6,8,5,3
273165,1,8,6,5,3
609104,0,9,4,2,8
670511,4,9,0,2,8
416403,9,2,4,0,5
412208,2,9,4,5,0
621206,0,9,4,2,8
811213,3,8,4,1,7
457888,2,5,1,4,8
342003,5,6,1,2,8
